window_id,filename,subject_id,action_code,label,head_drop,shoulder_drop,head_velocity_mean,head_velocity_max,torso_tilt_std,torso_tilt_range,lateral_sway_range,sway_direction_changes,min_hand_to_chest,hand_to_chest_drop,accel_slope,vertical_ratio,max_downward_vel,ending_tilt,tilt_net_change,knee_bend_min,elbow_angle_min,hand_dwell_frames,foot_sep_std,time_to_min_drop,post_fall_low_head_ratio,head_vertical_accel_peak,pre_post_head_speed_change,hand_approach_speed,hand_dwell_longest_run,hand_near_chest_stability
0,S001C001P001R001A001.skeleton,1,1,Normal Activity,0.013047017,0.001228636,0.003939709,0.013666056,0.263809051,1.263198744,0.010235885,16,0.336890091,0.071625458,-9.92E-06,0.787989015,0.00895544,13.6085801,-0.009416357,1.462847429,77.76236901,0,0.021660659,0.966666667,0.3,0.013384068,0.006015148,0.068687108,0,0
1,S001C001P001R001A001.skeleton,1,1,Normal Activity,0.029073899,0.012165814,0.00711385,0.035483104,0.859001009,2.864938063,0.035520463,12,0.321593897,0.101471983,0.000311582,0.332595657,0.009314977,15.21033327,2.55970007,1.466636736,50.89675757,0,0.030091679,0.566666667,0,0.028498396,0.003275322,0.068687108,0,0
2,S001C001P001R001A001.skeleton,1,1,Normal Activity,0.036005006,0.013100632,0.010434408,0.040967181,0.766652506,3.332465635,0.035520463,13,0.279705839,0.084718059,0.000100388,0.254533423,0.039946448,15.90194543,1.682094344,1.466636736,35.02085201,1,0.023192758,0.933333333,0.1,0.039824584,0.002155524,0.028230154,1,0
3,S001C001P001R001A001.skeleton,1,1,Normal Activity,0.066438083,0.008563402,0.013960288,0.067630924,0.486796772,2.145081803,0.029169765,16,0.279705839,0.059152349,0.000308579,0.516439925,0.039946448,15.03055361,-0.21165765,1.43771938,35.02085201,1,0.014509605,0.433333333,0,0.067331874,-0.000836441,0.028230154,1,0
4,S001C001P001R001A001.skeleton,1,1,Normal Activity,0.015031047,0.007301849,0.011817486,0.067630924,0.516865013,2.026416786,0.013673229,16,0.289739756,0.039057333,-0.000414081,0.528773515,0.023473934,16.05939316,0.67448116,1.405944823,68.61423212,2,0.011904583,0.1,0,0.067331874,0.001665412,0.0316429,1,0.995516849
5,S001C002P001R001A001.skeleton,1,1,Normal Activity,0.029704508,0.004383291,0.005650755,0.016621553,0.382606963,1.673447235,0.01607751,16,0.314637545,0.105050411,-2.94E-05,3.013218596,0.015101656,9.296080435,0.994531516,1.318097051,83.66065482,0,0.064940711,0.933333333,0.3,0.015800975,0.000145939,0.102631648,0,0
6,S001C002P001R001A001.skeleton,1,1,Normal Activity,0.031105988,0.001270886,0.006456303,0.02803367,1.865716427,5.107874864,0.059918281,11,0.314637545,0.107885844,0.000154828,0.237894406,0.008785436,4.537277306,-4.479456106,1.518756929,83.66065482,0,0.064948702,0.433333333,0,0.01229108,-0.000449478,0.102631648,0,0
7,S001C002P001R001A001.skeleton,1,1,Normal Activity,0.09881443,0.037318705,0.012906647,0.142120225,5.896457465,14.00566211,0.141801714,10,0.448652311,0.089885672,-2.65E-05,0.768541147,0.138328663,18.36784271,8.897787246,1.518756929,54.67105498,0,0.091950511,0.5,0.7,0.141153685,0.042869616,0.176712446,0,0
8,S001C002P001R001A001.skeleton,1,1,Normal Activity,0.064180344,0.007235149,0.012891317,0.062372681,0.808233989,3.270764827,0.068077042,16,0.458402642,0.061692692,0.000530423,0.690810703,0.0396209,16.51288364,-1.529699862,1.344459599,61.02470814,0,0.100873352,0.933333333,0.2,0.043379309,0.008866611,0.136856692,0,0
9,S001C002P001R001A001.skeleton,1,1,Normal Activity,0.111704941,0.00085206,0.012567031,0.062372681,1.349522282,4.266124348,0.070266759,12,0.458402642,0.010014561,-0.000578036,1.229954921,0.0396209,15.35779986,-3.830501972,1.239468959,61.02470814,0,0.099262115,0.433333333,1,0.043379309,0.008866611,0.028795433,0,0
10,S001C002P001R001A001.skeleton,1,1,Normal Activity,0,0,0.007662108,0.028216014,0.39927671,1.540619832,0.056897033,11,0.672670943,0.014040552,-8.84E-07,0.108794918,0.004615995,15.9943883,-0.61639462,1.239468959,17.74364796,0,0.108723701,0,0,0.005038548,0.000797633,0.038596077,0,0
11,S001C003P001R001A001.skeleton,1,1,Normal Activity,0,0.000282283,0.001284821,0.003925799,0.130757701,0.455381973,0.009745859,16,0.375287602,0.014419483,3.35E-05,0.014354109,0.001899536,11.97626999,-0.132300727,1.505456125,80.66678822,0,0.004304808,0,0,0.00229597,-0.001205196,0.017186701,0,0
12,S001C003P001R001A001.skeleton,1,1,Normal Activity,0.011227879,0.016895225,0.005837446,0.041592259,1.672664626,4.148058012,0.010501857,9,0.375287602,0.01254134,0.000369229,0.324517373,0.006443907,15.87811005,4.042787227,1.44766472,80.66678822,0,0.004612097,0.566666667,0,0.024340257,-0.001500448,0.022271493,0,0
13,S001C003P001R001A001.skeleton,1,1,Normal Activity,0.005324825,0.020160796,0.006534384,0.041592259,1.301453162,4.712711041,0.013074515,10,0.577518876,0,-0.000498817,0.158400481,0.006443907,16.11059807,4.17961426,1.424921691,63.64098911,0,0.003314529,0.066666667,0,0.024340257,0.000513669,0.022271493,0,0
14,S001C003P001R001A001.skeleton,1,1,Normal Activity,0.021339712,0.003530552,0.005166899,0.012739168,0.249285195,1.024661572,0.008048264,11,0.66181017,0.014196462,0.000172277,0.716783257,0.004971675,15.605134,-0.289473594,1.424921691,28.6365259,0,0.004364629,0.433333333,0,0.004441267,-0.001946703,0.015247673,0,0
15,S001C003P001R001A001.skeleton,1,1,Normal Activity,0,0.000346402,0.004404649,0.012739168,0.293725396,0.891854551,0.009194991,10,0.679858709,0,-0.000358527,0.967983634,0.000787995,15.28790064,-0.820474752,1.435436665,39.82215701,0,0.004590375,0,0,0.003171384,0.000884161,0.006957817,0,0
16,S001C003P001R001A001.skeleton,1,1,Normal Activity,0,0,0.001491729,0.005099292,0.185351429,0.648077574,0.006994333,7,0.692649918,0,-3.94E-05,0.496468139,0.001795344,14.91963237,-0.648077574,1.46990751,70.14401381,0,0.002640988,0,0,0.002285249,-0.000491723,0.004333588,0,0
17,S003C001P001R001A001.skeleton,1,1,Normal Activity,0.114797401,0.020725969,0.007101082,0.047480156,2.721253807,6.978785478,0.035154608,6,0.347244981,0.109177283,0.000279945,5.098611097,0.047261672,13.42418381,6.839743554,1.392612301,56.51325298,0,0.00721957,0.833333333,0.8,0.042818055,-3.50E-05,0.168581137,0,0
18,S003C001P001R001A001.skeleton,1,1,Normal Activity,0.187405624,0.022753859,0.009846679,0.047480156,2.546106801,7.437209507,0.042759997,8,0.339184324,0.09618482,-0.000140819,1.904906528,0.047261672,13.88260784,7.368129101,1.275858048,47.96558577,0,0.010580577,0.966666667,1,0.042818055,-3.50E-05,0.193793129,0,0
