window_id,subject_id,original_label,stage1_target,abnormal_probability,prediction_threshold_0.50
134,2,Normal Activity,0,0.24470959603786469,0
135,2,Normal Activity,0,0.2769258916378021,0
136,2,Normal Activity,0,0.07865485548973083,0
137,2,Normal Activity,0,0.33209463953971863,0
138,2,Normal Activity,0,0.03550668805837631,0
139,2,Normal Activity,0,0.021941253915429115,0
140,2,Normal Activity,0,0.13515907526016235,0
141,2,Normal Activity,0,0.04202872887253761,0
142,2,Normal Activity,0,0.05278800055384636,0
143,2,Normal Activity,0,0.0651978850364685,0
144,2,Normal Activity,0,0.01761343702673912,0
145,2,Normal Activity,0,0.011029318906366825,0
146,2,Normal Activity,0,0.2420305609703064,0
147,2,Normal Activity,0,0.06857533752918243,0
148,2,Normal Activity,0,0.01138701755553484,0
149,2,Normal Activity,0,0.05617732182145119,0
150,2,Normal Activity,0,0.172699436545372,0
151,2,Normal Activity,0,0.19474638998508453,0
152,2,Normal Activity,0,0.02346872165799141,0
153,2,Normal Activity,0,0.012947812676429749,0
154,2,Normal Activity,0,0.13411976397037506,0
155,2,Normal Activity,0,0.02037174254655838,0
156,2,Normal Activity,0,0.009344450198113918,0
157,2,Normal Activity,0,0.008690725080668926,0
158,2,Normal Activity,0,0.04792288690805435,0
159,2,Normal Activity,0,0.8570840954780579,1
160,2,Normal Activity,0,0.5970430970191956,1
161,2,Normal Activity,0,0.09856977313756943,0
162,2,Normal Activity,0,0.5139870047569275,1
163,2,Normal Activity,0,0.04751228913664818,0
164,2,Normal Activity,0,0.01037593837827444,0
165,2,Normal Activity,0,0.007545920088887215,0
166,2,Normal Activity,0,0.010764766484498978,0
167,2,Normal Activity,0,0.04583286866545677,0
168,2,Normal Activity,0,0.054905522614717484,0
169,2,Normal Activity,0,0.013459946028888226,0
170,2,Normal Activity,0,0.009722390212118626,0
171,2,Normal Activity,0,0.016368402168154716,0
172,2,Normal Activity,0,0.006849769502878189,0
173,2,Normal Activity,0,0.00312945363111794,0
174,2,Normal Activity,0,0.00774672394618392,0
175,2,Normal Activity,0,0.13207192718982697,0
176,2,Normal Activity,0,0.005376733373850584,0
177,2,Normal Activity,0,0.022600380703806877,0
178,2,Normal Activity,0,0.017434919252991676,0
179,2,Normal Activity,0,0.05197001248598099,0
180,2,Normal Activity,0,0.04606478661298752,0
181,2,Normal Activity,0,0.009420559741556644,0
182,2,Normal Activity,0,0.18394681811332703,0
183,2,Normal Activity,0,0.016046393662691116,0
184,2,Normal Activity,0,0.008929595351219177,0
185,2,Normal Activity,0,0.0431758388876915,0
186,2,Normal Activity,0,0.032328806817531586,0
187,2,Normal Activity,0,0.020382849499583244,0
188,2,Normal Activity,0,0.013479228131473064,0
189,2,Normal Activity,0,0.020948385819792747,0
190,2,Normal Activity,0,0.036577749997377396,0
191,2,Normal Activity,0,0.3816458582878113,0
192,2,Normal Activity,0,0.04182050749659538,0
193,2,Normal Activity,0,0.010794843547046185,0
194,2,Normal Activity,0,0.01349195372313261,0
195,2,Normal Activity,0,0.14927978813648224,0
196,2,Normal Activity,0,0.06258146464824677,0
197,2,Normal Activity,0,0.021215802058577538,0
198,2,Normal Activity,0,0.010389530099928379,0
199,2,Normal Activity,0,0.021123072132468224,0
316,4,Normal Activity,0,0.15079259872436523,0
317,4,Normal Activity,0,0.09738118201494217,0
318,4,Normal Activity,0,0.037455830723047256,0
319,4,Normal Activity,0,0.03705519065260887,0
320,4,Normal Activity,0,0.01795325055718422,0
321,4,Normal Activity,0,0.006294896360486746,0
322,4,Normal Activity,0,0.006274113897234201,0
323,4,Normal Activity,0,0.01219000481069088,0
324,4,Normal Activity,0,0.26530659198760986,0
325,4,Normal Activity,0,0.20535928010940552,0
326,4,Normal Activity,0,0.12613174319267273,0
327,4,Normal Activity,0,0.06365076452493668,0
328,4,Normal Activity,0,0.02091149054467678,0
329,4,Normal Activity,0,0.02124730870127678,0
330,4,Normal Activity,0,0.048757996410131454,0
331,4,Normal Activity,0,0.08371731638908386,0
332,4,Normal Activity,0,0.20837439596652985,0
333,4,Normal Activity,0,0.07164747267961502,0
334,4,Normal Activity,0,0.043373022228479385,0
335,4,Normal Activity,0,0.031242715194821358,0
336,4,Normal Activity,0,0.060100752860307693,0
337,4,Normal Activity,0,0.024916835129261017,0
338,4,Normal Activity,0,0.04259675741195679,0
339,4,Normal Activity,0,0.015176757238805294,0
340,4,Normal Activity,0,0.8183544874191284,1
341,4,Normal Activity,0,0.22697843611240387,0
342,4,Normal Activity,0,0.12099898606538773,0
343,4,Normal Activity,0,0.241542249917984,0
344,4,Normal Activity,0,0.37002116441726685,0
345,4,Normal Activity,0,0.6605032682418823,1
346,4,Normal Activity,0,0.40696054697036743,0
347,4,Normal Activity,0,0.13483376801013947,0
348,4,Normal Activity,0,0.04243661090731621,0
349,4,Normal Activity,0,0.05949079617857933,0
350,4,Normal Activity,0,0.03208303824067116,0
351,4,Normal Activity,0,0.03411871939897537,0
352,4,Normal Activity,0,0.019330406561493874,0
353,4,Normal Activity,0,0.00937268603593111,0
354,4,Normal Activity,0,0.021901289001107216,0
355,4,Normal Activity,0,0.04528321325778961,0
356,4,Normal Activity,0,0.04760211706161499,0
357,4,Normal Activity,0,0.03405599296092987,0
358,4,Normal Activity,0,0.025833366438746452,0
359,4,Normal Activity,0,0.010381629690527916,0
360,4,Normal Activity,0,0.0845726802945137,0
361,4,Normal Activity,0,0.05975376442074776,0
362,4,Normal Activity,0,0.01231512799859047,0
363,4,Normal Activity,0,0.022319620475172997,0
364,4,Normal Activity,0,0.025805503129959106,0
365,4,Normal Activity,0,0.12227732688188553,0
366,4,Normal Activity,0,0.06772887706756592,0
367,4,Normal Activity,0,0.012413784861564636,0
368,4,Normal Activity,0,0.12453420460224152,0
369,4,Normal Activity,0,0.067279152572155,0
370,4,Normal Activity,0,0.046742673963308334,0
371,4,Normal Activity,0,0.27214664220809937,0
372,4,Normal Activity,0,0.21298131346702576,0
373,4,Normal Activity,0,0.09519336372613907,0
374,5,Normal Activity,0,0.06284087151288986,0
375,5,Normal Activity,0,0.023796074092388153,0
376,5,Normal Activity,0,0.013753349892795086,0
377,5,Normal Activity,0,0.1787347048521042,0
378,5,Normal Activity,0,0.06630072742700577,0
379,5,Normal Activity,0,0.009090186096727848,0
380,5,Normal Activity,0,0.09835796803236008,0
381,5,Normal Activity,0,0.04296017810702324,0
382,5,Normal Activity,0,0.007990273647010326,0
383,5,Normal Activity,0,0.05132654681801796,0
384,5,Normal Activity,0,0.014712389558553696,0
385,5,Normal Activity,0,0.016150016337633133,0
386,5,Normal Activity,0,0.031620483845472336,0
387,5,Normal Activity,0,0.0108199343085289,0
388,5,Normal Activity,0,0.022498207166790962,0
389,5,Normal Activity,0,0.07514302432537079,0
390,5,Normal Activity,0,0.1978141963481903,0
391,5,Normal Activity,0,0.027032600715756416,0
392,6,Normal Activity,0,0.16971610486507416,0
393,6,Normal Activity,0,0.04268873855471611,0
394,6,Normal Activity,0,0.007624824531376362,0
395,6,Normal Activity,0,0.0175338052213192,0
396,6,Normal Activity,0,0.013042875565588474,0
397,6,Normal Activity,0,0.32554879784584045,0
398,6,Normal Activity,0,0.0739564374089241,0
399,6,Normal Activity,0,0.12854443490505219,0
400,6,Normal Activity,0,0.13689705729484558,0
401,6,Normal Activity,0,0.1717112809419632,0
